starId,lambdaEff,filter,referenceId,magAverage,magError,stdError,amplitudeEff
HD51418,465,22,35,0.0581,0.0016,0.0102,-0.1303
HD51418,550,23,35,0.3428,0.0013,0.0069,-0.1697
HD54118,510,30,2,5.1435,0.0006,0.0060,0.0200
HD54118,440,31,2,5.1133,0.0014,0.0190,0.0350
HD54118,550,32,2,5.1485,0.0018,0.0220,0.0200
HD54118,350,20,92,6.2150,0.0025,0.0130,0.0300
HD54118,410,21,92,5.2782,0.0023,0.0110,0.0330
HD54118,465,22,92,5.1110,0.0018,0.0080,0.0330
HD54118,550,23,92,5.1641,0.0021,0.0090,0.0200
HD54118,350,20,92,6.1676,0.0038,0.0130,0.0300
HD54118,410,21,92,5.2593,0.0019,0.0060,0.0330
HD54118,465,22,92,5.1165,0.0032,0.0100,0.0330
HD54118,550,23,92,5.1748,0.0029,0.0090,0.0200
HD54118,350,20,93,6.1906,0.0053,0.0190,0.0300
HD54118,410,21,93,5.2671,0.0034,0.0110,0.0330
HD54118,465,22,93,5.1031,0.0043,0.0140,0.0330
HD54118,550,23,93,5.1571,0.0033,0.0100,0.0200
HD54118,350,20,93,6.1502,0.0012,0.0100,0.0300
HD54118,410,21,93,5.2687,0.0008,0.0060,0.0330
HD54118,465,22,93,5.1079,0.0007,0.0050,0.0330
HD54118,550,23,93,5.1532,0.0009,0.0070,0.0200
HD54118,350,20,94,6.2197,0.0032,0.0110,0.0300
HD54118,410,21,94,5.2875,0.0042,0.0130,0.0330
HD54118,465,22,94,5.1083,0.0037,0.0110,0.0330
HD54118,550,23,94,5.1637,0.0028,0.0080,0.0200
HD54118,350,20,94,6.1884,0.0012,0.0080,0.0300
HD54118,410,21,94,5.2792,0.0009,0.0060,0.0330
HD54118,465,22,94,5.1094,0.0008,0.0050,0.0330
HD54118,550,23,94,5.1633,0.0008,0.0050,0.0200
HD54118,350,20,94,6.2318,0.0048,0.0170,0.0300
HD54118,410,21,94,5.2873,0.0037,0.0120,0.0330
HD54118,465,22,94,5.1122,0.0030,0.0100,0.0330
HD54118,550,23,94,5.1597,0.0008,0.0020,0.0200
HD62140,350,20,36,8.1588,0.0011,0.0044,-0.0208
HD62140,410,21,36,7.0072,0.0026,0.0101,-0.0411
HD62140,465,22,36,6.5899,0.0010,0.0041,-0.0375
HD62140,550,23,36,6.4519,0.0008,0.0033,-0.0299
HD62140,350,20,37,-0.8238,0.0007,0.0075,-0.0208
HD62140,410,21,37,-0.7752,0.0007,0.0079,-0.0411
HD62140,465,22,37,-0.5801,0.0010,0.0149,-0.0375
HD62140,550,23,37,-0.8570,0.0004,0.0043,-0.0299
HD62140,350,20,87,0.5450,0.0006,0.0061,-0.0208
HD62140,410,21,87,0.7166,0.0013,0.0128,-0.0411
HD62140,465,22,87,0.4414,0.0005,0.0050,-0.0375
HD62140,550,23,87,0.3354,0.0004,0.0044,-0.0299
HD66605,350,20,38,0.8004,0.0007,0.0044,-0.0722
HD66605,410,21,38,0.6030,0.0008,0.0043,-0.0161
HD66605,465,22,38,0.5289,0.0006,0.0034,-0.0353
HD66605,550,23,38,0.5109,0.0005,0.0026,-0.0531
HD66605,350,20,39,-0.1918,0.0017,0.0087,-0.0722
HD66605,410,21,39,-0.5640,0.0011,0.0054,-0.0161
HD66605,465,22,39,-0.6508,0.0011,0.0054,-0.0353
HD66605,550,23,39,-0.7051,0.0017,0.0079,-0.0531
HD66605,350,20,90,7.4261,0.0015,0.0066,-0.0722
HD66605,410,21,90,6.6654,0.0010,0.0039,-0.0161
HD66605,465,22,90,6.5161,0.0010,0.0043,-0.0353
HD66605,550,23,90,6.5404,0.0017,0.0065,-0.0531
HD71866,360,1,1,-0.5852,0.0014,0.0086,0.0247
HD71866,440,2,1,-0.4682,0.0010,0.0113,0.0415
HD71866,550,3,1,-0.3579,0.0015,0.0076,-0.0133
HD71866,420,75,40,-0.3956,0.0014,0.0062,0.0290
HD71866,536,76,40,-0.3249,0.0011,0.0069,0.0157
HD71866,360,1,41,6.8528,0.0027,0.0095,0.0247
HD71866,440,2,41,6.8331,0.0002,0.0008,0.0415
HD71866,550,3,41,6.7471,0.0015,0.0042,-0.0133
HD72968,360,1,1,-1.4732,0.0017,0.0096,-0.0216
HD72968,440,2,1,-1.3766,0.0023,0.0125,-0.0201
HD72968,550,3,1,-0.9242,0.0019,0.0102,-0.0132
HD72968,350,20,43,-0.6721,0.0008,0.0041,-0.0161
HD72968,410,21,43,-0.8148,0.0008,0.0040,-0.0103
HD72968,465,22,43,-0.8641,0.0007,0.0035,-0.0133
HD72968,550,23,43,-0.8505,0.0010,0.0051,-0.0132
HD72968,350,20,45,-0.9346,0.0016,0.0051,-0.0161
HD72968,410,21,45,-0.9469,0.0026,0.0076,-0.0103
HD72968,465,22,45,-0.9367,0.0011,0.0033,-0.0133
HD72968,550,23,45,-0.9142,0.0018,0.0054,-0.0132
