referenceId,starId,author,bibcode,referenceStarIds
6,HD22470,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",""
19,HD22470,"Adelman, S. J.; Boyce, P. W.","1995A&AS..114..253A","HD23055"
20,HD22470,"Adelman, Saul J.","2000A&AS..146...13A","HD23055"
111,HD22470,"Pojmanski, G.","2002AcA....52..397P",""
0,HD23950,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
58,HD23950,"Winzer, John Ernest","1974PhDT........61W","HD23753"
0,HD24155,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
6,HD24155,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",""
58,HD24155,"Winzer, John Ernest","1974PhDT........61W","HD23538"
0,HD24712,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
6,HD24712,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",""
104,HD24712,"Wolff, Sidney C.; Morrison, Nancy D.","1973PASP...85..141W","HD8710,HD8862"
0,HD24769,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
58,HD24769,"Winzer, John Ernest","1974PhDT........61W","HD23753"
79,HD24769,"Adelman, S. J.; Pi, C.-L. M.; Rayle, K. E.","1998A&AS..133..197A","HD23753"
0,HD25354,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
68,HD25354,"Burke, Edward W., Jr.; and co.","1970JRASC..64..353B","HD25643"
126,HD25354,"Rakos, Karl D.","1962LowOB...5..227R","HD25411"
0,HD25823,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
58,HD25823,"Winzer, John Ernest","1974PhDT........61W","HD27176"
126,HD25823,"Rakos, Karl D.","1962LowOB...5..227R","HD25626"
0,HD26571,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
20,HD26571,"Adelman, Saul J.","2000A&AS..146...13A","HD27176"
21,HD26571,"Adelman, Saul J.; Brunhouse, Eric F.","1998PASP..110.1304A","HD27176"
58,HD26571,"Winzer, John Ernest","1974PhDT........61W","HD27176"
111,HD26571,"Pojmanski, G.","2002AcA....52..397P",""
121,HD26571,"Adelman, Saul J.","2008PASP..120..595A","HD27176"
0,HD26792,"ESA 1997, The Tycho Catalogues","ESA, SP-1200",""
142,HD26792,"Dukes, Robert J., Jr.; Adelman, Saul J.","2018PASP..130d4202D","HD26553"
0,HD27295,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
58,HD27295,"Winzer, John Ernest","1974PhDT........61W","HD27176"
118,HD27295,"Adelman, Saul J.","1993A&A...269..411A","HD27176"
0,HD27309,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
22,HD27309,"North, P.; Adelman, S. J.","1995A&AS..111...41N","HD27176"
23,HD27309,"Nikolov, A. S.","1974IBVS..942....1N","HD27176"
24,HD27309,"Musielok, B.; Lange, D.; Schoenich, W.; et al.","1980AN....301...71M","HD27176"
58,HD27309,"Winzer, John Ernest","1974PhDT........61W","HD27176"
111,HD27309,"Pojmanski, G.","2002AcA....52..397P",""
142,HD27309,"Dukes, Robert J., Jr.; Adelman, Saul J.","2018PASP..130d4202D","HD27176"
0,HD28843,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
6,HD28843,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",""
26,HD28843,"Pedersen, H.; Thomsen, B.","1977A&AS...30...11P",""
46,HD28843,"Waelkens, C.","1985A&AS...61..127W",""
92,HD28843,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.","1995yCat.2170....0M",""
