0000,24155,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(86)Bt(103)Vt(103)"
0006,24155,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",,"J(2)H(2)K(2)L(2)M(2)"
0058,24155,"Winzer, John Ernest","1974PhDT........61W","HD23538","U(18)B(18)V(18)"
0000,24712,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(78)Bt(92)Vt(92)"
0006,24712,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",,"J(3)H(3)K(3)L(3)M(3)"
0104,24712,"Wolff, Sidney C.; Morrison, Nancy D.","1973PASP...85..141W","HD8710,HD8862","u(23)v(23)b(23)y(23)"
0000,24769,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(90)Bt(121)Vt(121)"
0058,24769,"Winzer, John Ernest","1974PhDT........61W","HD23753","U(14)B(14)V(14)"
0079,24769,"Adelman, S. J.; Pi, C.-L. M.; Rayle, K. E.","1998A&AS..133..197A","HD23753","u(73)v(73)b(73)y(73)"
0000,25354,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(96)Bt(124)Vt(124)"
0068,25354,"Burke, Edward W., Jr.; and co.","1970JRASC..64..353B","HD25643","V(10)"
0126,25354,"Rakos, Karl D.","1962LowOB...5..227R","HD25411","U(21)B(20)V(21)"
0000,25823,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(90)Bt(130)Vt(130)"
0058,25823,"Winzer, John Ernest","1974PhDT........61W","HD27176","U(8)B(8)V(8)"
0126,25823,"Rakos, Karl D.","1962LowOB...5..227R","HD25626","B(45)V(34)"
0000,26571,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(61)Bt(88)Vt(88)"
0020,26571,"Adelman, Saul J.","2000A&AS..146...13A","HD27176","u(117)v(117)b(117)y(117)"
0021,26571,"Adelman, Saul J.; Brunhouse, Eric F.","1998PASP..110.1304A","HD27176","u(79)v(79)b(79)y(79)"
0058,26571,"Winzer, John Ernest","1974PhDT........61W","HD27176","U(18)B(18)V(18)"
0111,26571,"Pojmanski, G.","2002AcA....52..397P",,"V(307)"
0121,26571,"Adelman, Saul J.","2008PASP..120..595A","HD27176","u(102)v(102)b(102)y(102)"
0000,26792,"ESA 1997, The Tycho Catalogues","ESA, SP-1200",,"Hp(119)"
0142,26792,"Dukes, Robert J., Jr.; Adelman, Saul J.","2018PASP..130d4202D","HD26553","u(217)v(217)b(217)y(217)"
0000,27295,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(88)Bt(119)Vt(119)"
